depth	min	max	median	wmean
448	21311.5	23324.5	22363.4	22360
450	21353.8	23404.1	22436.9	22429
452	21427.7	23445.4	22501.2	22494.1
454	21503.6	23487.1	22565.5	22558.9
456	21568.9	23544.2	22636.3	22624.3
458	21641.3	23600.8	22706.3	22689
460	21684.6	23686.3	22774.2	22753.5
462	21797.2	23717.7	22839.4	22821.1
464	21883.9	23752.7	22908.9	22888.7
466	21949.5	23798.3	22980.3	22955.8
468	22009.2	23849.2	23047.9	23023
470	22056.1	23921.3	23115.7	23089.7
472	22166.8	23949.6	23176.6	23157.5
474	22267.8	23987.3	23243.5	23224.3
476	22359.9	24029.8	23310.9	23291.4
478	22433.6	24080.4	23383.3	23358.9
480	22499.2	24144.4	23453.6	23426.6
482	22613.4	24169.1	23514.1	23493.1
484	22715.7	24196.6	23582.9	23559.7
486	22801	24231.1	23654.6	23626.1
488	22882.9	24276.4	23724.1	23692.9
490	22949.7	24341.5	23797.5	23760.3
492	23080.2	24364.2	23857.3	23823
494	23192.5	24386.5	23919.9	23886.9
496	23275	24410.1	23987	23950.3
498	23340.9	24444.6	24054.5	24014.1
500	23397	24499.2	24119.2	24077.2
502	23529.5	24516.5	24167.5	24131.7
504	23636	24543.5	24216.4	24186.9
506	23720.3	24576.7	24270.6	24242.4
508	23776.9	24619.9	24329	24298.3
510	23823.6	24688	24383	24353.9
512	23870.4	24721.2	24415.1	24388.2
514	23905.5	24765.7	24446.8	24422.9
516	23937.8	24814.7	24478.6	24457.4
518	23967.2	24879.7	24506.2	24491.2
520	23991.9	24955.7	24533.9	24525
522	24031.6	24982.9	24568.5	24561
524	24066.6	25025.6	24603	24597
526	24101.1	25067.8	24636	24632.5
528	24131.6	25118.3	24668.2	24666.7
530	24158.9	25182.9	24699.6	24701.1
532	24202.7	25208.9	24733.4	24735.6
534	24236.9	25242.5	24764.6	24769.6
536	24272.7	25279.1	24798.2	24804.4
538	24300.2	25325.2	24829.4	24838.6
540	24329.1	25382.1	24861.7	24872.4
542	24374.4	25401.7	24897.6	24907.8
544	24409.9	25428.4	24935.8	24943.7
546	24444.8	25469.1	24971.7	24979.7
548	24476.4	25519	25004.1	25014.1
550	24500.8	25574.5	25037.3	25047.7
552	24544.6	25597.1	25072.6	25082.3
554	24586.2	25622.4	25107.1	25116.1
556	24616.7	25660.9	25143.8	25151.7
558	24649.4	25699.2	25179.4	25187
560	24674.6	25740.4	25215.4	25221.5
